commentaire;note;note_eval
Netflix ne considère pas ses clients Le service client et le chat n'a aucune considération pour les clients , je ne suis pas prêt de me réabonné.;1;1
Toujours pareil les mêmes films séries C'est usant pff;2;2
j'adore tout simplement. juste un peu cher à mon goût.;4;4
J'avais le forfait standard avec une image de qualité et maintenant pour conserver cette image de qualité on me fait payer plus cher. C'est tout simplement scandaleux !!;1;1
Des voleurs Tout simplement, des voleurs. Surveillez vos comptes ! Netflix vous prélève la somme de votre abonnement deux fois, dont une pour vérifier votre solvabilité d'après le sav, ce qui est illégal. Bien sûr,cela n'apparaît pas sur votre facture ! Sois disant, On vous rembourse aussitôt. Pour ma part, j'ai donc été prélevée deux fois le montant de mon abonnement, sans jamais être remboursée. Ma facture et mon compte en Banque sont discordantes. Netflix se base uniquement sur la facture et n'a que faire d'autres preuves. Je me suis donc fait voler.Le sav? Des êtres humains agissant et parlant comme des robots. Fuyez! Du vol, un coût inadapté à la faiblesse du catalogue.... Escroquerie.;1;1
Trop cher et pour rien ! "Devenue trop cher pour le peu de choses intéressant...Je suis déçu par l'augmentation du prix tout sa parce-que Netflix à décidé d'ajouter des ""jeux mobiles"" totalement nul à en mourir.Je préfère carrément ne plus payé le service et aller chez la concurrence !";1;2
Nul nul nul 0 nouveauté intéressante pendant les fêtes du réchauffer une plate-forme insipide. Vivement la nouvelle génération.;1;1
Des nouveautés tout simplement de plus en plus nullissimes pour un tarif discutable, avec quelques rares fois des pépites (comme Don't look up cette semaine), qui donnent fallacieusement l'espoir que ce sera mieux le mois prochain, mais ces musts ne représentent plus que 5% à tout casser des nouveautés. Et cette semaine c'est le pompon! Destiné à un public d'ados accros aux séries bas de gamme. Le réveillon 2022 va être saumâtre pour les abonnés!;1;2
Si Netflix m'avait impressionnée au départ par la diversité , la qualité, l'originalité, maintenant c'est la cata !!! Aucune série, aucun film intéressant. Plus ou pas de doublage en français. Le tarif ayant augmenté il y a quelques mois, on aurait pu s'attendre à une bonne tenue de route en qualité. Je vais résilier dans les jours à venir parce que j'ai réellement l'impression de mettre 9 euros à la poubelle tous les mois depuis au moins 6 mois...;1;1
Netflix svp Des films en français Marre des films étrangés et sous titré et souvent en mauvaise qualité Nous ne payons pas avec des billets de Monopoly Alors !! un effort Merci;3;2
Les scènes sexuels pour à partir de 12 ans mais les films sociaux, humanitaire à partir de 16 ans. Ceci dit un enfant de 12 ans doit regarder les hommes ou les femmes entre eux /elles s'embrasser et ne peux pas regarder un film où une mère protège son enfant (MAID).Franchement je trouve ça sordide. Désabonnement total;1;1
C'est vraiment bidon Netflix, c est souvent des films déjà vu bien avant a la TV on payent pour rien, et eux s enrichissent j ai eu Netflix pendant 1 an et demi et je n' ai vraiment pas flashé sur aucune série, ni, lucifer, qui est diffusé a la TV, manque vraiment de contenus, pour moi nul, et on paye, paye ,et repaye ma note 1/20 pour pas mettre zero;1;1
Très bien et je m’ennuie pas mais le prix de l’abonnement a augmenté;4;4
Une chose est sûre je m’ennuie jamais;5;5
Plateforme qui tend vers le lowcost Baisse de qualités des contenus de mois en mois. On est noyés sous les séries pour ados. Les très bonnes séries (breaking bad, Peaky Blinders ou Outlander) ne sont pas des séries Netflix. A part Narcos, Ozark et l'excellent Dark, il y a beaucoup beaucoup trop de low cost. Je préfère un catalogue moins fourni mais avec de la qualité comme le catalogue HBO;2;3
Dessus, pleins de séries ,mais toujours UNE saison .... Toujours attendre paye chaque mois pour attendre ..... BREF AUTANT TÉLÉCHARGER GRATUITEMENT !!!!!;1;2
J 'ai un abonnement netflix pour 4 personnes et toute la fimille en profite. vaut vraiment le coup. mon streaming préféré;5;5
Augmententation du tarif Netflix mais pas celui du catalogue avec doublage en français Le tarif de l'abonnement augmente pour atteindre 13,49 € au lieu de 11,99 € soit une augmentation du prix 12,5 % par sur que je reste surtout si Netflix ne fait pas un sérieux effort pour augmenter le catalogue avec doublage en français (surtout les documentaires !!!).;2;2
"2ans sur Netflix, quelques bonnes séries puis..... Plus de suite, plus de traductions en français, des récits historiques sortis tout droit de l'imagination de propagandistes, de vieux films présentés comme ""Nouveautés"", et cerise sur le gâteau : Augmentation de l'abonnement. Comme beaucoup de mes proches, on abandonne !";1;1
Bien ! Du nouveau contenu est souvent publié, et l'abonnement reste compétitif en termes de prix. Bien !;4;4
Scandaleux. En un clic seulement n'importe qui peut s'abonner sur votre télé, aucune carte bleue n'est demandée car l'abonnement s'ajoute à la facture de la box, et bien sûr impossible d'annuler l'abonnement dans la foulée... N'importe quoi.;1;1
Niet flix!!!! Le contenu est riche de film ou séries vieilles ou ordinaire.Le contenu FRANCOPHONE n'est pas assez présent.Pour le prix,je débarque!!;2;2
l'augmentation de trop Netflix a peut être montré le chemin mais maintenant il y a de la concurrence. C'était l'augmentation de trop, je suis maintenant un ancien client.;1;2
Augmenter les prix c'est concevable mais avec un service à la baisse c'est injustifié, il n'y a absolument plus de nouveautés et rien d'intéressant à voir...;1;2
Marre de l'augmentation des prix =(;1;2
Netflix font c hier d'augmenter les prix;1;2
honnêtement, durant le confinement, j'ai beaucoup regardé netflix, cela m'a tenu compagnie agréablement, 2eme confinement plus rien d'intéressant , des films étrangers sans intérêt du moins pour moi , et plus de films français ni de séries nouvelles, je crois qu'ils vont perdre beaucoup de clients s'ils continuent comme cela. il faudrait que cette plateforme fasse un effort je ne pense pas avoir été la seule à annuler mon abonnement depuis 4 mois;2;2
"Netflix est pas mal pour les enfants. On peut trouver de vraies pépites d'animation avec une bonne morale, qui font voyager les esprits des petits et des grands (en faisant le tri bien entendu, Adventure Time, Centaurworld, Le Prince des dragon, Arrietty, Steven Universe, Hilda, une bonne partie des films du studio Ghibli et bien d'autres). Cependant, en ce qui concerne les séries adulte/ados ... On a l'impression qu'ils ne font que cocher des cases. ""Alors il nous faut une personne racisée, un homo/trans/bi..., quelques scènes de sexe parfois en groupe qui n'apportent rien à l'histoire et un scénario prévisible voir incohérent pour justifier tout le reste"". Il reste quelques bonnes séries qui m'ont vraiment intéressées (Haunting of hill house, Stranger Things, 13 Reasons Why ...), mais la majorité des programmes sont insipide à souhait.";3;3
Je constate que Netflix n'ajoute pas suffisamment de séries et de films ont a vite fait le tour surtout en langue française. Les traductions prennent un temps fou à de faire;2;2
Parfait - offre riche et diversifiée - VO disponible pour tous les programmes - appli fluide et facile à utiliser Je recommande !;5;5
Fatiguée de series avec des scènes de sexe tous les quart d heure.....souvent les histoires sont bonnes les acteurs convaincants.mais les plans à deux trois hétéros bi ou autres sur le sofa la douche ou l îlot de la cuisine me saoulent......;2;2
Des amis m'accompagnent à travers dix ans de jeunesse "J'aime regarder ""Friends"" sur Netflix. Le spectacle décrit les coutumes, la culture, la vie quotidienne et les relations interpersonnelles de la société américaine des années 1990 au début du nouveau siècle,  il m'a appris à résoudre divers problèmes. Ces plans incluent la vérité sur le travail, la carrière, les relations familiales, l'amitié et l'amour. J'ai regardé chaque épisode de chaque saison car il m'accompagnera de nombreux jours et nuits.";5;4
Très bonne plate-forme, il y a beaucoup de séries télévisées et de films que j'aime. En raison de l'épidémie de COVID-19, je dois m'isoler à la maison, regarder des séries télévisées tous les jours à la maison et ne pas vouloir aller travailler. ToT;4;5
Je suis abonnée depuis 2 ans et j'en suis contente, pas de pub et on met le film à l'heure qu'on veut.;5;5
Excellent Rien à dire, netflix est excellent. Je ne comprends pas les avis négatif.;5;5
"J'habite au Québec, province officiellement francophone. Je trouve inadmissible que des films ou séries basiques ne soient pas accessibles aux francophones, même pas en sous-titrage !!!! Par exemple, je peux écouter la dernière saison de la série ""Outlander"" en anglais, allemand, espagnol, polonais, portugais avec un sous-titrage en anglais, allemand, espagnol ou bien chinois... Chercher l'erreur... Il arrive trop souvent que je sélectionne un film, même ancien et que j'abandonne l'idée de le regarder car il n'est pas proposé dans ma langue maternelle, le français !";1;1
Très déçu de Netflix qui ne propose que des vieilleries très peu de nouveautés il vaut mieux encore Canal +. Je pense qu avec le temps ils perdront des clients car aucun avantage de le garder.;1;2
aucune séries cultes anciennes Absence des séries suivantes :columbo, cosmos 1999, chapeau melon et bottes de cuir, amicalement votre, ma sorcière bien aimée, le prisonnier, et j'en oublie, bref heureusement que j'ai annulé le renouvèlement !!!;2;1
BAISSE DE QUALITE et MANQUE DE VF BAISSE DE QUALITE : J'avais été enchantée par les offres des programmes de netflix mais depuis un peu moins d'un an je trouve qu 'il y a de moins en moins de choses interessantes et divertissantes. bcp de narnards. par ailleurs, passionnée par les affaires criminelles outre Atlantique, je regrette le manque de volonté de fournir les programmes en francais. j'ai pour ex, REAL DETECTIVE que je peux voir chez canal via planete en français mais pas chez netflix. c'est bcp de l'anglais, le portugais, l'espagnol, le turc. c 'est grotesque ! je n'aurais pas gardé cet abonnement s'il n'était pas fourni avec canal.;2;2
J'aime beaucoup le contenu voudrais la série supernatural et game of trônes sa serait génial;3;5
Netflix de Belgique il est vraiment pourri je comprends pas pourquoi vous avez rien autant ne pas avoir Netflix. Disney plus c’est beaucoup plus intéressant en plus vous avez retiré le prince de bel-air.;1;1
Netflix correspond à mon attente. L'offre est correcte et le tarif est raisonnable. Je bénéficie du forfait standard à 12 euros. L'Offre est correcte et le tarif est décent. Bien que ma ligne ADSL offre un débit relativement faible, je peux bénéficier de la HD et de la 4K avec la livebox classique de chez orange que j'utilise depuis plus d'une décennie. Mes deux téléviseurs 4K smart TV se connectent parfaitement en wifi et peuvent diffuser en même temps deux flux Netflix en HD. L'HD me suffit amplement... Je craignais qu'il faille absolument être équipé de la fibre mais ce n'est absolument pas le cas. Les prestations offertes par Netflix correspondent à mon attente. Mes ados sont également ravis de Netflix.;4;4
Je tenais à dire que Netflix est génial Je tenais à dire que Netflix m'a apporté des nouveautés superbes. En ce moment, je me régale avec des séries coréennes à couper le souffle ! Franchement c'est une plate-forme superbe ! Ma fille adore et mon mari aussi ! On est toujours contents. Bravo à Netflix;5;5
